Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirportID,OriginAirportName,OriginCity,OriginState,DestAirportID,DestAirportName,DestCity,DestState,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,9,19,4,WN,13232,Chicago Midway International,Chicago,IL,13796,Metropolitan Oakland International,Oakland,CA,1930,108,1,2200,105,1,0
2013,5,6,1,WN,11259,Dallas Love Field,Dallas,TX,13198,Kansas City International,Kansas City,MO,2055,0,0,2220,-5,0,0
2013,10,18,5,DL,14679,San Diego International,San Diego,CA,14869,Salt Lake City International,Salt Lake City,UT,1820,-1,0,2110,-3,0,0
2013,7,7,7,B6,14843,Luis Munoz Marin International,San Juan,PR,11697,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,1125,0,0,1405,15,1,0
2013,8,25,7,WN,12889,McCarran International,Las Vegas,NV,13232,Chicago Midway International,Chicago,IL,1105,0,0,1640,-20,0,0
2013,8,3,6,UA,13204,Orlando International,Orlando,FL,11618,Newark Liberty International,Newark,NJ,748,58,1,1030,44,1,0
2013,9,16,1,WN,12191,William P Hobby,Houston,TX,11259,Dallas Love Field,Dallas,TX,1100,7,0,1155,8,0,0
2013,4,25,4,WN,11292,Denver International,Denver,CO,13232,Chicago Midway International,Chicago,IL,710,-2,0,1025,-14,0,0
2013,9,23,1,DL,11433,Detroit Metro Wayne County,Detroit,MI,11292,Denver International,Denver,CO,1538,-4,0,1644,5,0,0
2013,8,23,5,OO,12892,Los Angeles International,Los Angeles,CA,13796,Metropolitan Oakland International,Oakland,CA,1720,-6,0,1841,-16,0,0
2013,4,22,1,UA,11292,Denver International,Denver,CO,11042,Cleveland-Hopkins International,Cleveland,OH,959,-3,0,1450,-9,0,0
2013,10,3,4,WN,12892,Los Angeles International,Los Angeles,CA,15016,Lambert-St. Louis International,St. Louis,MO,825,3,0,1355,-12,0,0
2013,5,4,6,AS,14057,Portland International,Portland,OR,12892,Los Angeles International,Los Angeles,CA,1145,1,0,1404,-17,0,0
2013,7,9,2,AA,12892,Los Angeles International,Los Angeles,CA,11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,1100,-3,0,1610,-10,0,0
2013,7,10,3,YV,12954,Long Beach Airport,Long Beach,CA,14107,Phoenix Sky Harbor International,Phoenix,AZ,1005,-5,0,1122,1,0,0
2013,6,20,4,AA,12953,LaGuardia,New York,NY,13930,Chicago O'Hare International,Chicago,IL,1845,7,0,2030,-26,0,0
2013,8,27,2,DL,14771,San Francisco International,San Francisco,CA,11433,Detroit Metro Wayne County,Detroit,MI,1130,-5,0,1905,-12,0,0
2013,7,17,3,AA,14683,San Antonio International,San Antonio,TX,11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,1600,-4,0,1715,5,0,0
2013,9,8,7,OO,12339,Indianapolis International,Indianapolis,IN,12266,George Bush Intercontinental/Houston,Houston,TX,1524,-5,0,1651,-13,0,0
2013,9,12,4,US,12478,John F. Kennedy International,New York,NY,11057,Charlotte Douglas International,Charlotte,NC,1200,18,1,1354,39,1,0
2013,9,26,4,UA,12266,George Bush Intercontinental/Houston,Houston,TX,14831,Norman Y. Mineta San Jose International,San Jose,CA,2107,-5,0,2314,-21,0,0
2013,9,25,3,AA,11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,11618,Newark Liberty International,Newark,NJ,1400,1,0,1825,-14,0,0
2013,10,22,2,DL,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,12339,Indianapolis International,Indianapolis,IN,939,8,0,1115,-1,0,0
2013,6,7,5,OO,14747,Seattle/Tacoma International,Seattle,WA,12892,Los Angeles International,Los Angeles,CA,1528,-2,0,1814,-16,0,0
2013,7,16,2,WN,10792,Buffalo Niagara International,Buffalo,NY,10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,1610,18,1,1720,14,0,0
2013,8,30,5,YV,13303,Miami International,Miami,FL,12264,Washington Dulles International,Washington,DC,850,10,0,1119,18,1,0
2013,6,27,4,AA,10693,Nashville International,Nashville,TN,11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,1940,160,1,2130,158,1,0
2013,6,27,4,MQ,11433,Detroit Metro Wayne County,Detroit,MI,13930,Chicago O'Hare International,Chicago,IL,1200,-4,0,1220,-17,0,0
2013,9,26,4,WN,14831,Norman Y. Mineta San Jose International,San Jose,CA,14908,John Wayne Airport-Orange County,Santa Ana,CA,1505,25,1,1620,16,1,0
2013,5,9,4,WN,12889,McCarran International,Las Vegas,NV,14679,San Diego International,San Diego,CA,1800,9,0,1905,11,0,0
2013,5,4,6,AS,14893,Sacramento International,Sacramento,CA,14747,Seattle/Tacoma International,Seattle,WA,1020,-10,0,1205,-5,0,0
2013,4,26,5,US,11292,Denver International,Denver,CO,14107,Phoenix Sky Harbor International,Phoenix,AZ,1214,-4,0,1305,-7,0,0
2013,8,25,7,US,14100,Philadelphia International,Philadelphia,PA,14771,San Francisco International,San Francisco,CA,1600,-1,0,1904,-26,0,0
2013,8,1,4,MQ,14122,Pittsburgh International,Pittsburgh,PA,13930,Chicago O'Hare International,Chicago,IL,1035,-3,0,1105,-7,0,0
2013,8,2,5,WN,12892,Los Angeles International,Los Angeles,CA,13232,Chicago Midway International,Chicago,IL,1425,19,1,2020,28,1,0
2013,10,26,6,WN,13232,Chicago Midway International,Chicago,IL,14679,San Diego International,San Diego,CA,1320,26,1,1540,12,0,0
2013,5,6,1,WN,14893,Sacramento International,Sacramento,CA,14107,Phoenix Sky Harbor International,Phoenix,AZ,600,0,0,750,-10,0,0
2013,10,30,3,WN,14057,Portland International,Portland,OR,14831,Norman Y. Mineta San Jose International,San Jose,CA,1310,2,0,1450,-8,0,0
2013,4,18,4,US,14100,Philadelphia International,Philadelphia,PA,11292,Denver International,Denver,CO,745,-5,0,959,26,1,0
2013,10,29,2,VX,12892,Los Angeles International,Los Angeles,CA,14747,Seattle/Tacoma International,Seattle,WA,1715,13,0,1950,16,1,0
2013,8,10,6,EV,12266,George Bush Intercontinental/Houston,Houston,TX,14683,San Antonio International,San Antonio,TX,832,-5,0,932,-18,0,0
2013,4,21,7,WN,14893,Sacramento International,Sacramento,CA,11292,Denver International,Denver,CO,1005,-1,0,1330,-20,0,0
2013,5,29,3,DL,14869,Salt Lake City International,Salt Lake City,UT,14908,John Wayne Airport-Orange County,Santa Ana,CA,1501,-2,0,1552,-17,0,0
2013,4,13,6,WN,10792,Buffalo Niagara International,Buffalo,NY,10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,935,-3,0,1040,-6,0,0
2013,8,5,1,AA,13303,Miami International,Miami,FL,14843,Luis Munoz Marin International,San Juan,PR,705,-4,0,940,-4,0,0
2013,10,19,6,F9,11292,Denver International,Denver,CO,13342,General Mitchell International,Milwaukee,WI,1558,-9,0,1909,-6,0,0
2013,7,5,5,DL,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,14635,Southwest Florida International,Fort Myers,FL,852,-4,0,1035,-12,0,0
2013,5,29,3,DL,11433,Detroit Metro Wayne County,Detroit,MI,11697,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,1015,-4,0,1311,0,0,0
2013,8,10,6,EV,11618,Newark Liberty International,Newark,NJ,13198,Kansas City International,Kansas City,MO,1856,5,0,2104,-2,0,0
2013,7,10,3,UA,11292,Denver International,Denver,CO,12264,Washington Dulles International,Washington,DC,1228,98,1,1749,120,1,0
2013,5,10,5,WN,14908,John Wayne Airport-Orange County,Santa Ana,CA,12191,William P Hobby,Houston,TX,1415,0,0,1920,-7,0,0
2013,8,14,3,DL,15304,Tampa International,Tampa,FL,12953,LaGuardia,New York,NY,1850,-4,0,2138,-8,0,0
2013,4,25,4,DL,12953,LaGuardia,New York,NY,13204,Orlando International,Orlando,FL,705,25,1,951,28,1,0
2013,6,20,4,US,14747,Seattle/Tacoma International,Seattle,WA,14100,Philadelphia International,Philadelphia,PA,640,-4,0,1441,21,1,0
2013,9,8,7,UA,14057,Portland International,Portland,OR,13930,Chicago O'Hare International,Chicago,IL,1039,-8,0,1633,1,0,0
2013,4,14,7,DL,11433,Detroit Metro Wayne County,Detroit,MI,10693,Nashville International,Nashville,TN,845,3,0,922,4,0,0
2013,5,9,4,US,12953,LaGuardia,New York,NY,11057,Charlotte Douglas International,Charlotte,NC,1530,32,1,1732,5,0,0
2013,8,4,7,OO,11292,Denver International,Denver,CO,10800,Bob Hope,Burbank,CA,1454,7,0,1629,-1,0,0
2013,10,30,3,FL,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,13198,Kansas City International,Kansas City,MO,2105,1,0,2217,-2,0,0
2013,10,1,2,DL,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,12889,McCarran International,Las Vegas,NV,1105,-3,0,1236,-35,0,0
2013,6,21,5,WN,13487,Minneapolis-St Paul International,Minneapolis,MN,13198,Kansas City International,Kansas City,MO,1835,0,0,1955,3,0,0
2013,7,15,1,WN,12892,Los Angeles International,Los Angeles,CA,13232,Chicago Midway International,Chicago,IL,1715,8,0,2305,7,0,0
2013,5,8,3,US,11278,Ronald Reagan Washington National,Washington,DC,15304,Tampa International,Tampa,FL,1940,49,1,2156,46,1,0
2013,7,30,2,US,11433,Detroit Metro Wayne County,Detroit,MI,14107,Phoenix Sky Harbor International,Phoenix,AZ,745,-4,0,905,-6,0,0
2013,7,24,3,WN,14893,Sacramento International,Sacramento,CA,10800,Bob Hope,Burbank,CA,1945,-4,0,2055,-7,0,0
2013,4,5,5,DL,13204,Orlando International,Orlando,FL,12953,LaGuardia,New York,NY,1045,12,0,1322,-10,0,0
2013,5,4,6,US,11057,Charlotte Douglas International,Charlotte,NC,14747,Seattle/Tacoma International,Seattle,WA,935,9,0,1207,-36,0,0
2013,7,14,7,DL,14057,Portland International,Portland,OR,11433,Detroit Metro Wayne County,Detroit,MI,1130,142,1,1838,138,1,0
2013,9,19,4,UA,14747,Seattle/Tacoma International,Seattle,WA,14771,San Francisco International,San Francisco,CA,720,-3,0,934,-19,0,0
2013,8,6,2,DL,13198,Kansas City International,Kansas City,MO,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,710,-5,0,1012,-3,0,0
2013,4,6,6,YV,11057,Charlotte Douglas International,Charlotte,NC,12953,LaGuardia,New York,NY,1609,-3,0,1801,-13,0,0
2013,9,1,7,F9,11292,Denver International,Denver,CO,11042,Cleveland-Hopkins International,Cleveland,OH,1650,-5,0,2140,-14,0,0
2013,6,17,1,DL,12478,John F. Kennedy International,New York,NY,14869,Salt Lake City International,Salt Lake City,UT,1055,-1,0,1347,15,1,0
2013,10,31,4,WN,11292,Denver International,Denver,CO,13232,Chicago Midway International,Chicago,IL,920,2,0,1235,-9,0,0
2013,4,10,3,UA,12953,LaGuardia,New York,NY,11042,Cleveland-Hopkins International,Cleveland,OH,1544,280,1,1744,310,1,0
2013,8,21,3,OO,10800,Bob Hope,Burbank,CA,14057,Portland International,Portland,OR,1515,0,0,1719,1,0,0
2013,8,10,6,DL,11433,Detroit Metro Wayne County,Detroit,MI,11697,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,1940,-5,0,2236,1,0,0
2013,9,12,4,MQ,11066,Port Columbus International,Columbus,OH,12478,John F. Kennedy International,New York,NY,1320,1,0,1515,0,1,1
2013,8,1,4,FL,13204,Orlando International,Orlando,FL,10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,800,-8,0,1010,-9,0,0
2013,7,7,7,UA,12892,Los Angeles International,Los Angeles,CA,12173,Honolulu International,Honolulu,HI,1106,-2,0,1403,-11,0,0
2013,5,17,5,AA,13930,Chicago O'Hare International,Chicago,IL,15016,Lambert-St. Louis International,St. Louis,MO,1720,-1,0,1830,1,0,0
2013,5,29,3,AA,13930,Chicago O'Hare International,Chicago,IL,11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,740,-6,0,1010,-21,0,0
2013,8,30,5,B6,12478,John F. Kennedy International,New York,NY,15304,Tampa International,Tampa,FL,650,-5,0,931,-21,0,0
2013,5,13,1,MQ,13930,Chicago O'Hare International,Chicago,IL,11057,Charlotte Douglas International,Charlotte,NC,715,5,0,1000,18,1,0
2013,10,6,7,DL,11066,Port Columbus International,Columbus,OH,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,1825,190,1,2000,189,1,0
2013,7,12,5,UA,13930,Chicago O'Hare International,Chicago,IL,12953,LaGuardia,New York,NY,1300,-4,0,1612,17,1,0
2013,4,16,2,DL,13487,Minneapolis-St Paul International,Minneapolis,MN,11433,Detroit Metro Wayne County,Detroit,MI,2145,-1,0,27,-11,0,0
2013,5,9,4,OO,12892,Los Angeles International,Los Angeles,CA,10140,Albuquerque International Sunport,Albuquerque,NM,755,21,1,1045,12,0,0
2013,9,25,3,UA,11618,Newark Liberty International,Newark,NJ,11042,Cleveland-Hopkins International,Cleveland,OH,1435,16,1,1609,22,1,0
2013,7,10,3,UA,11618,Newark Liberty International,Newark,NJ,13930,Chicago O'Hare International,Chicago,IL,1559,208,1,1732,278,1,0
2013,8,17,6,WN,14679,San Diego International,San Diego,CA,14107,Phoenix Sky Harbor International,Phoenix,AZ,1705,-2,0,1815,-6,0,0
2013,7,9,2,WN,14107,Phoenix Sky Harbor International,Phoenix,AZ,13891,Ontario International,Ontario,CA,900,0,0,1015,-14,0,0
2013,10,4,5,AA,11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,12953,LaGuardia,New York,NY,745,-3,0,1210,-20,0,0
2013,4,6,6,WN,12892,Los Angeles International,Los Angeles,CA,10140,Albuquerque International Sunport,Albuquerque,NM,1600,-1,0,1850,-16,0,0
2013,7,5,5,WN,13232,Chicago Midway International,Chicago,IL,12191,William P Hobby,Houston,TX,1720,-5,0,1950,-3,0,0
2013,5,12,7,EV,13495,Louis Armstrong New Orleans International,New Orleans,LA,13244,Memphis International,Memphis,TN,1725,-5,0,1849,-12,0,0
2013,9,19,4,WN,11259,Dallas Love Field,Dallas,TX,13495,Louis Armstrong New Orleans International,New Orleans,LA,1930,51,1,2050,72,1,0
2013,8,12,1,WN,14683,San Antonio International,San Antonio,TX,11259,Dallas Love Field,Dallas,TX,1310,8,0,1410,6,0,0
2013,7,8,1,US,11057,Charlotte Douglas International,Charlotte,NC,14492,Raleigh-Durham International,Raleigh/Durham,NC,1431,2,0,1521,4,0,0
2013,7,31,3,OO,14869,Salt Lake City International,Salt Lake City,UT,11292,Denver International,Denver,CO,830,-7,0,957,-7,0,0
2013,8,28,3,DL,14747,Seattle/Tacoma International,Seattle,WA,11193,Cincinnati/Northern Kentucky International,Cincinnati,OH,1200,0,0,1912,2,0,0
2013,10,10,4,DL,13204,Orlando International,Orlando,FL,11193,Cincinnati/Northern Kentucky International,Cincinnati,OH,800,-4,0,1007,-7,0,0
2013,6,22,6,UA,13930,Chicago O'Hare International,Chicago,IL,12889,McCarran International,Las Vegas,NV,1740,120,1,1932,109,1,0
2013,4,18,4,DL,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,13930,Chicago O'Hare International,Chicago,IL,835,0,,945,0,1,1
2013,7,6,6,AA,11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,13891,Ontario International,Ontario,CA,1305,18,1,1400,10,0,0
2013,7,4,4,B6,12478,John F. Kennedy International,New York,NY,15304,Tampa International,Tampa,FL,1932,0,0,2228,-4,0,0
2013,5,30,4,US,14771,San Francisco International,San Francisco,CA,14100,Philadelphia International,Philadelphia,PA,1345,-6,0,2203,-5,0,0
2013,4,15,1,VX,14679,San Diego International,San Diego,CA,14771,San Francisco International,San Francisco,CA,2005,-9,0,2140,-7,0,0
2013,5,16,4,WN,10693,Nashville International,Nashville,TN,15016,Lambert-St. Louis International,St. Louis,MO,1425,6,0,1530,3,0,0
2013,5,5,7,EV,11042,Cleveland-Hopkins International,Cleveland,OH,12339,Indianapolis International,Indianapolis,IN,929,-10,0,1043,-24,0,0
2013,7,4,4,EV,11618,Newark Liberty International,Newark,NJ,14122,Pittsburgh International,Pittsburgh,PA,1029,-6,0,1153,-6,0,0
2013,7,2,2,FL,14524,Richmond International,Richmond,VA,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,745,-9,0,919,-2,0,0
2013,4,5,5,FL,10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,11697,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,2015,0,0,2214,-8,0,0
2013,6,22,6,WN,14107,Phoenix Sky Harbor International,Phoenix,AZ,13342,General Mitchell International,Milwaukee,WI,1645,9,0,2200,4,0,0
2013,9,22,7,WN,14683,San Antonio International,San Antonio,TX,12892,Los Angeles International,Los Angeles,CA,1845,26,1,1950,29,1,0
2013,5,11,6,DL,13487,Minneapolis-St Paul International,Minneapolis,MN,13342,General Mitchell International,Milwaukee,WI,1930,26,1,2042,12,0,0
2013,10,14,1,WN,13495,Louis Armstrong New Orleans International,New Orleans,LA,10693,Nashville International,Nashville,TN,1340,-3,0,1505,-3,0,0
2013,4,22,1,9E,13930,Chicago O'Hare International,Chicago,IL,11193,Cincinnati/Northern Kentucky International,Cincinnati,OH,840,-5,0,1055,0,0,0
2013,7,2,2,WN,10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,13232,Chicago Midway International,Chicago,IL,1315,0,0,1405,3,0,0
2013,10,31,4,9E,13487,Minneapolis-St Paul International,Minneapolis,MN,13232,Chicago Midway International,Chicago,IL,1010,34,1,1143,42,1,0
2013,10,7,1,DL,10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,11433,Detroit Metro Wayne County,Detroit,MI,605,-2,0,740,-17,0,0
2013,4,18,4,EV,13930,Chicago O'Hare International,Chicago,IL,13871,Eppley Airfield,Omaha,NE,1705,89,1,1837,83,1,0
2013,8,25,7,WN,14057,Portland International,Portland,OR,14570,Reno/Tahoe International,Reno,NV,750,58,1,915,48,1,0
